Name,Date,points,Weight,Body Weight
Taylor Atwood,06/14/2021,123.42,838.5 kg,73.6 kg
Jesse Norris,12/13/2014,121.99,914 kg,89.3 kg
Austin Perkins,05/20/2023,121.20,825 kg,73.9 kg
Ashton Rouska,11/14/2020,120.97,950.5 kg,98.5 kg
Bobb Matthews,03/04/2023,119.84,937.5 kg,97.6 kg
Keenan Lee,12/17/2022,119.32,957.5 kg,102.9 kg
Brandon Pitre,06/03/2023,118.18,887.5 kg,89.7 kg
Russel Orhii,12/17/2022,117.74,885 kg,89.9 kg
Rondel Hunte,03/04/2023,117.08,1002.5 kg,118.7 kg
Jonathan Cayco,02/27/2021,116.94,892.5 kg,92.7 kg
Jamarr Royster,11/05/2022,115.59,832.5 kg,82.5 kg
Dominique Fuqua,04/29/2023,115.47,870 kg,90.3 kg
Ricardo Ramos,04/08/2021,115.42,542.5 kg,65.9 kg
Gavin Adin,06/14/2021,115.40,880 kg,92.6 kg
Bryce Lewis,06/14/2021,114.67,927.5 kg,104.7 kg
Sean Noriega,07/18/2020,114.55,825 kg,82.5 kg
Kyle de Leon,03/04/2023,114.50,822.5 kg,82.1 kg
Daniel Clements,12/10/2022,114.50,745 kg,67.8 kg
Jon Gruden,06/08/2022,114.25,817.5 kg,81.5 kg
Angelo Fortino,06/08/2022,114.19,819.5 kg,81.9 kg
Micheal Seay,12/04/2021,114.17,785 kg,75.4 kg
Joseph Borenstein,12/01/2022,114.05,780 kg,74.6 kg
Delaney Wallace,06/14/2021,113.90,822.5 kg,82.9 kg
Jawon Garrison,09/24/2022,113.79,817.5 kg,82.1 kg
Jonathan Hill,06/08/2022,113.37,872.5 kg,94.3 kg
Dennis Cornelius,03/05/2016,113.26,971.5 kg,119.2 kg
Michael Davis,03/20/2021,112.97,915 kg,105 kg
Connor Borkert,11/14/2020,112.65,860 kg,92.8 kg
Alex Luckow,03/11/2023,112.40,807.5 kg,82.1 kg
Cameron Harmon,12/01/2022,112.39,760 kg,73 kg
Joseph Amendola,12/04/2021,112.27,907.5 kg,104.6 kg
John Haack,10/13/2016,112.19,810 kg,82.9 kg
Keith Mchoney,07/21/2018,112.14,732.5 kg,68.3 kg
Dwardly Edouard,05/20/2023,112.10,882.5 kg,98.9 kg
Blaine Sumner,03/07/2020,112.08,1296 kg,176.2 kg
Cameron Smith,06/14/2021,111.84,852.5 kg,92.5 kg
Chance Mitchell,10/16/2021,111.83,853 kg,92.6 kg
Marcus Adodo,10/15/2022,111.72,875 kg,97.8 kg
Zachary DiCostanzo,03/18/2023,111.64,757.5 kg,73.5 kg
Ls Mcclain,03/02/2019,111.33,812.5 kg,84.7 kg
Charlie Dickson,10/16/2019,111.18,845 kg,91.9 kg
Neil Osano,03/04/2023,111.18,760 kg,74.5 kg
Jerald Scott,06/08/2022,111.14,795 kg,81.4 kg
Seun Jubril,03/04/2023,110.97,795 kg,81.7 kg
Benjamin Poore,02/11/2023,110.95,830 kg,89 kg
Sean Jin,06/03/2023,110.77,797.5 kg,82.4 kg
Jimmy Villanueva,02/04/2023,110.68,790 kg,81.1 kg
Morgan Aquino Garcia,06/08/2022,110.64,715 kg,66.9 kg
Brian Le,10/08/2022,110.41,710 kg,66.3 kg
Charles Okpoko,03/19/2022,110.37,742.5 kg,72.3 kg
Daniel Howell,03/25/2023,110.37,827.5 kg,89.4 kg
Jared Martin,03/04/2023,110.31,963 kg,124.2 kg
Edward Taylor,10/24/2020,110.30,790 kg,81.6 kg
Devin Mervau,05/06/2023,110.25,827.5 kg,89.6 kg
Cayman Battle,11/15/2020,110.15,890 kg,104.5 kg
Stephen Lehew,10/11/2018,110.05,748 kg,73.7 kg
HIFON SMITH,03/05/2016,109.99,944.5 kg,119.5 kg
Jesus Olivares,12/12/2020,109.94,1055.5 kg,157.8 kg
Jordan Mckinley,12/03/2022,109.89,820 kg,88.6 kg
David Woolson,06/08/2022,109.79,900 kg,107.8 kg
Justin Rogers,06/14/2021,109.78,837.5 kg,92.6 kg
Darius Bunch,01/14/2023,109.76,835 kg,92.1 kg
Garrett Blevins,03/04/2017,109.67,885.5 kg,104.3 kg
Ray Williams,03/04/2017,109.58,1105 kg,182.3 kg
Anthony Bilal,09/03/2022,109.50,785 kg,81.8 kg
Richard Cho,10/16/2019,109.39,743 kg,73.6 kg
Peter Hoang,05/20/2023,109.21,747.5 kg,74.7 kg
Christopher Perez,06/07/2022,109.21,783.5 kg,81.9 kg
David Chan,11/06/2021,109.01,787.5 kg,83 kg
Quitarius Chatman,05/20/2023,108.88,772.5 kg,80.1 kg
Dameion Morris,09/10/2022,108.83,780 kg,81.7 kg
Jonathan Garcia,11/21/2020,108.81,697 kg,65.8 kg
Kevin Nguyen,06/08/2022,108.80,950 kg,124.2 kg
Premar Namnama,11/13/2022,108.78,800 kg,86 kg
Kyle Power,10/16/2019,108.72,827.5 kg,92.2 kg
Fujii Yuya,12/17/2022,108.71,745 kg,74.9 kg
David Ricks,04/29/2017,108.71,825.5 kg,91.8 kg
Mark Frezzell,03/04/2023,108.66,742.5 kg,74.5 kg
Josiah Vivero,03/04/2023,108.63,745 kg,75 kg
Tracy Gilliard,12/10/2022,108.62,782.5 kg,82.6 kg
Anas Anbar,03/05/2023,108.57,742.5 kg,74.6 kg
Eric LaPointe,06/08/2022,108.47,742.5 kg,74.7 kg
Joshua Tukua,09/10/2022,108.47,815 kg,89.8 kg
Andre' Easter Ii,06/12/2021,108.44,825 kg,92.1 kg
Justin West,06/17/2023,108.40,780 kg,82.4 kg
Daniel Morris,06/03/2023,108.37,790 kg,84.5 kg
Edward Wilson,03/06/2021,108.30,732.5 kg,73 kg
Lorenzo Wright,03/19/2022,108.17,852.5 kg,99.1 kg
Dominique Stephens,03/02/2019,108.16,800 kg,87 kg
Zachary Yamamoto,02/04/2023,108.03,852.5 kg,99.4 kg
Joshua Powell,10/08/2022,108.00,847.5 kg,98.2 kg
Eli Burks,10/11/2018,107.89,870 kg,104 kg
Kim Tran,06/15/2019,107.82,730 kg,73.2 kg
Lawrence Hinson,06/03/2023,107.76,802.5 kg,88.2 kg
Evan Judice,03/11/2023,107.67,737.5 kg,74.8 kg
Frank Allen,05/20/2023,107.46,1070 kg,175.3 kg
Daniel Libre,03/02/2019,107.45,812.5 kg,91 kg
Michael Tuchscherer,02/28/2014,107.37,916.5 kg,117.9 kg
Tevin Duncan,06/10/2023,107.28,805 kg,89.6 kg
Sol Na,05/20/2023,107.26,772.5 kg,82.5 kg
Kai Zhao,11/06/2021,107.23,817.5 kg,92.5 kg
Sean Moser,03/02/2019,107.18,817.5 kg,92.6 kg
Hayden Willis,04/13/2023,107.14,795 kg,87.6 kg
Taylor Casteel,04/13/2023,107.11,843 kg,98.8 kg
Knute Douglas,11/15/2020,107.10,927.5 kg,83 kg
Charvis Paia,11/20/2021,106.97,772.5 kg,83 kg
Jacob Ramos,06/08/2022,106.97,732.5 kg,74.8 kg
Amir Ganiev,10/29/2022,106.87,805 kg,90.3 kg
Uthdoung pros,03/06/2022,106.84,765 kg,81.6 kg
Trevor Bowlus,02/26/2022,106.81,765 kg,81.6 kg
Vasil Gushterov,03/14/2015,106.80,865 kg,105 kg
Trey Rikard,06/03/2023,106.80,802.5 kg,89.8 kg
Nico Chiodo,10/30/2022,106.79,800 kg,89.3 kg
Deon Johnston,06/08/2022,106.78,730 kg,74.5 kg
Preston Savoy Jr,10/15/2022,106.77,862.5 kg,104.4 kg
Charlie Yeng,06/08/2022,106.75,682.5 kg,65.6 kg
Christian Habihirwe,08/10/2019,106.70,815 kg,92.9 kg
Matthew Treherne,02/09/2019,106.68,815 kg,92.9 kg
Nicholas Guidice,11/07/2020,106.63,850 kg,101.5 kg
Jerkerion simmons,05/13/2023,106.60,762.5 kg,81.4 kg
Dallas Bey,03/04/2023,106.58,727.5 kg,74.3 kg
Kalil Zaky,06/03/2023,106.57,840 kg,99.1 kg
Joseph Hardy,10/13/2016,106.48,845 kg,100.5 kg
Matthew Yeung,05/13/2023,106.42,765 kg,82.2 kg
Sean Collins,07/27/2019,106.40,762.5 kg,81.7 kg
David Shelton,06/14/2021,106.38,767.5 kg,82.8 kg
Gage Carreon,03/06/2022,106.37,755 kg,80.2 kg
Matt Sohmer,10/11/2018,106.37,910 kg,118.5 kg
caden schoffelman,06/03/2023,106.36,795 kg,88.9 kg
Shane Nutt,04/08/2021,106.33,795 kg,88.9 kg
Daquan Studstill,05/20/2023,106.32,832.5 kg,97.8 kg
Benjamin Rice,03/02/2019,106.32,852.5 kg,102.8 kg
Perry Ellis,06/10/2016,106.31,912.5 kg,119.4 kg
Grant Ivarson,04/13/2023,106.27,864 kg,105.9 kg
Sean Mills,11/05/2022,106.24,872.5 kg,108.2 kg
Ian Bell,06/14/2021,106.18,1036 kg,104.4 kg
Sindell Thomas,01/07/2023,106.07,762.5 kg,82.2 kg
Lamar Rhodes,09/24/2022,106.06,780 kg,86 kg
Eric Gardner,02/19/2022,105.96,802.5 kg,91.3 kg
Brandon Dudley,01/07/2023,105.96,875 kg,109.5 kg
Devin Williams,03/04/2023,105.93,902.5 kg,117.4 kg
TraShon Hightower,12/04/2021,105.91,750 kg,79.8 kg
Xavier Bailey,05/20/2023,105.88,777.5 kg,85.8 kg
Lorenzo Tomasiello,04/22/2023,105.84,790 kg,88.6 kg
Todd Talford,06/03/2023,105.82,797.5 kg,90.4 kg
Enrique Lugo,02/26/2022,105.81,920 kg,123 kg
Benjamin Collins,03/04/2023,105.77,787.5 kg,88.2 kg
Brett Peach,04/13/2023,105.74,756 kg,81.3 kg
James Wilson,06/09/2018,105.74,810 kg,93.4 kg
Brendan Baugher,03/04/2023,105.68,790 kg,88.9 kg
Jonnie Candito,03/07/2020,105.66,760 kg,82.3 kg
Blake Atwell,06/14/2021,105.59,900 kg,117.5 kg
Joshua Nougaisse,06/26/2021,105.48,805 kg,92.7 kg
Clay Kuhlemeier,06/03/2023,105.44,750 kg,80.5 kg
Ryan Baylark,12/01/2018,105.40,760 kg,82.7 kg
